group,income_after_tax_mean,integrated_food_mean,partial_integrated_total_expenditure_mean,group_mean_difference_after_tax_minus_partial_total,retirement_pension_social_security_mean,classification_sensitivity_difference_excluding_retirement,status,warning
benchmark_all_one_person_25_34,52025.00775367748,7548.944321407446,49464.0320704874,2560.975683190074,6859.18847082983,9420.164154019905,accounting_sensitivity_not_individual_cash_flow,Partial total retains Interview-only nonfood categories and cannot support individual residual distributions.
y1_all,54035.35516406077,7616.88847130479,50692.86478914098,3342.490374919791,7177.85981574259,10520.350190662379,accounting_sensitivity_not_individual_cash_flow,Partial total retains Interview-only nonfood categories and cannot support individual residual distributions.
y1_renter,52010.254360973806,7413.5557081397155,49978.00517634289,2032.249184630913,6671.8201402514005,8704.069324882315,accounting_sensitivity_not_individual_cash_flow,Partial total retains Interview-only nonfood categories and cannot support individual residual distributions.
y1_owner_with_mortgage,66198.8177679426,8698.291031717978,57666.23869725072,8532.579070691878,9878.254232928426,18410.833303620304,accounting_sensitivity_not_individual_cash_flow,Partial total retains Interview-only nonfood categories and cannot support individual residual distributions.
y1_owner_without_mortgage,64030.13503132454,8211.074128626544,45782.08137333067,18248.05365799387,9006.234663646761,27254.288321640634,accounting_sensitivity_not_individual_cash_flow,Partial total retains Interview-only nonfood categories and cannot support individual residual distributions.
y1_no_cash_rent,23989.934518706687,4840.172982596363,35372.318076675765,-11382.383557969079,2874.4984139961284,-8507.885143972951,accounting_sensitivity_not_individual_cash_flow,Partial total retains Interview-only nonfood categories and cannot support individual residual distributions.
