survey,category,ucc,annual_mean,brr_se
Interview,food_home,190904,95.87208891173447,4.960732481268122
Interview,food_away,190901,7.229962361785482,2.7531403870130493
Interview,food_away,190902,46.388720206506164,8.63288741381977
Interview,food_away,190903,472.34228165588775,12.225056157985092
Interview,food_away,190905,49.56464789300473,5.47082557349257
Interview,food_away,790430,4.930985024897712,0.6327734207792481
Interview,food_away,800700,47.976390150754405,5.64342644488959
Diary,food_home,010119,23.738710306033802,1.1746389164182294
Diary,food_home,010210,110.60441629379338,2.7589735243955116
Diary,food_home,010310,49.868254399463275,2.2089845744827397
Diary,food_home,010320,71.78332751224315,2.117207124318302
Diary,food_home,020219,106.44054861788926,2.2359596304258216
Diary,food_home,020310,101.15061749952604,3.531797198216724
Diary,food_home,020410,66.7107993557502,2.5920035630299765
Diary,food_home,020510,90.670924474011,2.920615660657326
Diary,food_home,020610,66.34746979463648,2.275048068077887
Diary,food_home,020620,16.266927305109157,1.0587321632734026
Diary,food_home,020710,48.93817904783376,2.012833011077923
Diary,food_home,020810,51.551475544918,2.362663425069601
Diary,food_home,020820,25.975424029115562,1.3515870636334653
Diary,food_home,030110,140.54441975358014,4.511847731078273
Diary,food_home,030219,37.703921437888525,2.8988211364182646
Diary,food_home,030519,89.17705236576569,4.317079394036301
Diary,food_home,030810,41.23203254895238,2.9410316207494325
Diary,food_home,040119,76.99587888839284,2.6082239835739722
Diary,food_home,040210,36.43034087369775,1.7615375650044542
Diary,food_home,040319,35.47489167420826,3.056416503193449
Diary,food_home,040410,67.78078443321874,3.274595154884964
Diary,food_home,050110,41.08471545161219,2.069331075898897
Diary,food_home,050319,87.74275263248185,2.670657369660815
Diary,food_home,050419,12.36971227404932,1.5762138932216778
Diary,food_home,060119,159.21501343373194,5.399437876118857
Diary,food_home,060310,54.92841967533609,3.4763421392269924
Diary,food_home,070119,78.33642892546891,5.524665049111096
Diary,food_home,070230,105.71480282439956,6.286311477941751
Diary,food_home,080110,99.11639654551219,1.7461674367211824
Diary,food_home,090110,149.42530215961298,3.1577825044768035
Diary,food_home,100119,42.128948543617945,1.6519872422992639
Diary,food_home,100210,196.32467144224248,5.065962130625267
Diary,food_home,100410,98.66826780005042,3.275745113904877
Diary,food_home,100519,115.24975159190474,3.644806275893319
Diary,food_home,110110,66.0281821959443,2.5179124275888505
Diary,food_home,110210,82.63171837528265,2.725350296553975
Diary,food_home,110319,48.34297052724328,1.4276445433778386
Diary,food_home,110410,216.0533558527011,5.544226210795994
Diary,food_home,120110,65.92539806316786,1.7593839317729871
Diary,food_home,120210,51.420358599096495,1.6738948706379422
Diary,food_home,120310,67.41574761236309,1.8063655381494075
Diary,food_home,120410,220.3791742227548,5.008845256337433
Diary,food_home,130119,2.031939443720336,0.3023847474209149
Diary,food_home,130129,52.39886363589817,1.727146740647183
Diary,food_home,140219,66.43657423472828,1.9962435339237519
Diary,food_home,140349,49.40131877770896,3.337607834084896
Diary,food_home,150110,163.83440649410161,4.45589090540006
Diary,food_home,150219,21.091891324437018,1.0250577162816474
Diary,food_home,150310,54.39615876388917,1.8818971611754536
Diary,food_home,160211,61.78453887647218,2.2515250542619665
Diary,food_home,160212,50.25582303082868,2.120244711705623
Diary,food_home,160320,32.411468434631765,1.4583950030953825
Diary,food_home,170110,112.06351469951585,3.580051965340169
Diary,food_home,170210,146.93113850829798,4.165186984561136
Diary,food_home,170319,102.39799115910927,4.935267902508048
Diary,food_home,170520,63.59249492816319,2.9198384041449543
Diary,food_home,170531,31.580115590251538,2.135405433957162
Diary,food_home,170539,206.91629236173753,4.434064736658538
Diary,food_home,180110,81.38519313571483,2.567317522941444
Diary,food_home,180210,59.55991731885517,3.161131261651935
Diary,food_home,180220,152.64683898639845,6.06963751745308
Diary,food_home,180310,212.11063537199732,4.904456319429684
Diary,food_home,180320,67.30188515582192,3.712071077645001
Diary,food_home,180410,97.1684868905821,4.653263806047756
Diary,food_home,180420,33.57599026418462,1.6834007279852086
Diary,food_home,180510,104.36444852374558,2.2731218086103704
Diary,food_home,180520,51.450621583765795,1.9227873334388232
Diary,food_home,180611,84.40774461950228,3.7590792499848544
Diary,food_home,180612,30.142809341039136,1.6313680085494335
Diary,food_home,180620,45.096098633551215,5.648861634545891
Diary,food_home,180710,306.28913152730416,10.455059330001806
Diary,food_away,190400,1726.5020159571445,46.20946141981281
Diary,food_away,190500,1484.9203362955327,36.33712055629237
Diary,food_away,190600,39.81267134450036,3.5392760342216714
Diary,food_away,190700,52.858878633480465,6.229000556148949
