group,interview_records,interview_unique_cu,interview_population,diary_week_records,diary_unique_cu,diary_population
all_consumer_units,22055,11544,134555809.167,12389,6284,134488926.4845
benchmark_all_one_person_25_34,903,560,6064816.982083334,463,238,5486776.541
y1_all,869,535,5795560.7645000005,450,231,5363324.03775
y1_renter,667,417,4499520.9015833335,334,172,4140098.2515000002
y1_owner_with_mortgage,139,84,917928.9666666667,91,47,965838.5560000001
y1_owner_without_mortgage,41,28,232448.62766666667,18,9,195391.92700000003
y1_no_cash_rent,22,16,145662.26858333332,6,3,51886.2175
