group,food,healthcare,housing,income_after_tax,income_before_tax,owned_dwellings,rented_dwellings,retirement_pension_social_security,total_expenditure,transportation,utilities,wages_salaries,reported_residual_mean_difference,residual_excluding_retirement_category,housing_share_after_tax_pct,total_exp_share_after_tax_pct
benchmark_all_one_person_25_34,8919.922491085983,1962.6896133932614,18912.221589839457,52025.00775367748,61774.24897771059,2420.239360851555,11726.445152186223,6859.18847082983,50835.010240165924,7732.921584432368,2272.6728885686307,58993.379191479704,1189.9975135115528,8049.185984341384,36.35217447613473,97.71264327504606
y1_all,9070.091318732218,2019.6786999121152,19284.781799635184,54035.35516406077,64216.66351207371,2532.681369904568,11871.542545987184,7177.85981574259,52146.06763656841,7974.464394188636,2314.4458962268577,61734.155242151915,1889.2875274923572,9067.147343234945,35.68919227250977,96.50360856932254
y1_no_cash_rent,7218.138075687218,1728.1218116343548,11533.495985433661,23989.934518706687,26150.8682535412,57.71168870125549,8189.716844616652,2874.4984139961284,37750.28316976662,11514.520549544075,2177.531850189287,24839.928349408063,-13760.348651059932,-10885.850237063802,48.076396275446946,157.35884206074007
y1_owner_with_mortgage,10065.576464817248,1823.6926698241082,21855.477403387442,66198.8177679426,78546.49620720545,14404.429361768447,0.43155152782519224,9878.254232928426,59033.524130349986,9146.352070675526,3507.2316928789955,74497.0066018357,7165.293637592615,17043.54787052104,33.0149059156932,89.17610030029498
y1_owner_without_mortgage,10598.670187204532,1831.4962369665377,14637.595810247669,64030.13503132454,79197.99759566372,5720.124967356778,317.406889301159,9006.234663646761,48169.67743190866,6149.24727067632,3606.463807754351,73867.53629250536,15860.45759941588,24866.692263062643,22.860479371294044,75.22969834179375
y1_renter,8847.991894615609,2078.8211848412134,19251.352890074035,52010.254360973806,61751.6435207219,26.23039324974989,15009.406113822224,6671.8201402514005,51412.44136281878,7715.082770144253,2008.7961962332006,59698.00913949084,597.8129981550228,7269.633138406425,37.01453324273568,98.85058628245511
